==================================================
CIFAR-100 ResNet 訓練紀錄
==================================================
電腦名稱         : aero01
Python 版本      : 3.10.12
TensorFlow 版本  : 2.17.0
訓練裝置類型     : CUDA
裝置名稱         : NVIDIA L40S
CUDA 版本        : 12.3
訓練開始時間     : 2026-05-05 00:43:10
總訓練時間       : 65291.84 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/5000  3.9451     10.49        16.96        23.51s
2/5000  3.0585     23.50        27.05        36.33s
3/5000  2.5078     33.97        34.76        49.33s
4/5000  2.1487     42.00        41.96        62.14s
5/5000  1.8980     47.79        49.19        75.09s
6/5000  1.7093     52.42        45.06        88.00s
7/5000  1.5688     55.48        52.41        100.98s
8/5000  1.4472     58.75        50.52        113.87s
9/5000  1.3448     61.13        55.27        126.88s
10/5000  1.2395     63.93        56.68        139.72s
11/5000  1.1598     65.99        59.10        152.57s
12/5000  1.0800     68.24        60.55        165.39s
13/5000  1.0069     69.98        59.30        178.26s
14/5000  0.9410     71.81        59.82        191.14s
15/5000  0.8720     73.71        64.25        204.09s
16/5000  0.8091     75.38        60.67        216.99s
17/5000  0.7692     76.44        63.36        229.88s
18/5000  0.7008     78.39        64.87        242.86s
19/5000  0.6607     79.34        63.63        255.75s
20/5000  0.6179     80.48        64.76        268.65s
21/5000  0.5775     81.90        65.13        281.55s
22/5000  0.5276     83.24        64.39        294.48s
23/5000  0.4870     84.26        65.95        307.29s
24/5000  0.4656     85.15        63.25        320.22s
25/5000  0.4344     85.97        66.85        333.06s
26/5000  0.4048     86.89        66.15        345.80s
27/5000  0.3784     87.54        64.64        358.65s
28/5000  0.3557     88.48        65.42        371.56s
29/5000  0.3288     89.48        66.31        384.47s
30/5000  0.3152     89.62        66.95        397.34s
31/5000  0.3002     90.28        66.67        410.32s
32/5000  0.2845     90.73        66.81        423.22s
33/5000  0.2720     91.01        65.81        436.11s
34/5000  0.2564     91.61        66.60        449.01s
35/5000  0.2473     91.84        67.51        461.88s
36/5000  0.2328     92.37        67.92        474.79s
37/5000  0.2219     92.84        67.79        487.61s
38/5000  0.2169     92.77        68.28        500.47s
39/5000  0.2080     93.37        67.16        513.37s
40/5000  0.2057     93.24        66.49        526.26s
41/5000  0.1903     93.85        66.81        539.08s
42/5000  0.1909     93.64        66.97        551.94s
43/5000  0.1873     93.84        67.69        565.04s
44/5000  0.1768     94.17        67.72        578.13s
45/5000  0.1691     94.43        68.57        591.15s
46/5000  0.1560     94.92        69.72        604.31s
47/5000  0.1651     94.54        66.30        617.16s
48/5000  0.1572     94.88        67.93        630.15s
49/5000  0.1468     95.20        67.48        643.16s
50/5000  0.1435     95.31        68.01        656.00s
51/5000  0.1417     95.41        68.50        668.95s
52/5000  0.1393     95.46        66.99        681.82s
53/5000  0.1386     95.45        68.16        694.82s
54/5000  0.1336     95.63        68.43        707.74s
55/5000  0.1346     95.72        67.23        720.63s
56/5000  0.1236     95.99        68.18        733.59s
57/5000  0.1283     95.92        67.20        746.30s
58/5000  0.1247     95.99        68.48        759.18s
59/5000  0.1217     95.99        67.78        772.19s
60/5000  0.1233     95.92        68.09        785.13s
61/5000  0.1132     96.25        68.72        797.96s
62/5000  0.1209     96.07        69.27        810.90s
63/5000  0.1110     96.43        68.45        823.84s
64/5000  0.1028     96.58        69.30        836.71s
65/5000  0.1062     96.66        67.36        849.61s
66/5000  0.1081     96.49        67.23        862.58s
67/5000  0.1009     96.75        68.09        875.46s
68/5000  0.1026     96.74        66.78        888.42s
69/5000  0.1057     96.56        67.24        901.40s
70/5000  0.0988     96.93        67.95        914.26s
71/5000  0.0988     96.83        68.50        927.20s
72/5000  0.0942     97.01        67.99        940.09s
73/5000  0.0980     96.78        67.31        953.02s
74/5000  0.0910     97.08        69.00        965.98s
75/5000  0.0896     97.14        68.35        978.87s
76/5000  0.0921     96.96        67.89        991.66s
77/5000  0.0922     97.01        68.52        1004.49s
78/5000  0.0891     97.16        69.14        1017.43s
79/5000  0.0875     97.18        68.62        1030.58s
80/5000  0.0870     97.19        68.35        1043.59s
81/5000  0.0824     97.30        68.41        1058.23s
82/5000  0.0776     97.46        68.88        1072.78s
83/5000  0.0815     97.35        69.03        1087.41s
84/5000  0.0868     97.20        68.57        1102.30s
85/5000  0.0822     97.35        69.16        1116.95s
86/5000  0.0738     97.64        69.45        1131.51s
87/5000  0.0801     97.42        68.38        1146.10s
88/5000  0.0730     97.58        69.18        1160.60s
89/5000  0.0812     97.42        69.03        1175.18s
90/5000  0.0733     97.69        69.53        1188.09s
91/5000  0.0710     97.78        68.70        1201.00s
92/5000  0.0802     97.43        67.55        1213.98s
93/5000  0.0730     97.64        70.29        1226.91s
94/5000  0.0636     97.89        69.91        1239.89s
95/5000  0.0708     97.69        69.73        1252.78s
96/5000  0.0728     97.72        69.91        1269.29s
97/5000  0.0668     97.82        69.41        1290.31s
98/5000  0.0668     97.88        69.17        1311.08s
99/5000  0.0657     97.92        69.82        1332.14s
100/5000  0.0699     97.62        69.54        1353.30s
101/5000  0.0665     97.90        69.09        1374.41s
102/5000  0.0617     97.97        69.53        1395.64s
103/5000  0.0643     97.97        69.70        1416.78s
104/5000  0.0648     97.89        69.03        1438.23s
105/5000  0.0603     98.09        69.26        1459.50s
106/5000  0.0678     97.84        68.33        1480.68s
107/5000  0.0615     97.99        70.02        1502.01s
108/5000  0.0609     98.11        69.94        1522.91s
109/5000  0.0596     98.06        69.39        1543.77s
110/5000  0.0569     98.19        69.57        1564.82s
111/5000  0.0622     97.99        69.24        1586.10s
112/5000  0.0541     98.18        69.59        1607.21s
113/5000  0.0575     98.11        68.61        1628.53s
114/5000  0.0607     98.08        69.62        1649.74s
115/5000  0.0644     98.00        68.70        1670.93s
116/5000  0.0561     98.16        69.48        1691.93s
117/5000  0.0563     98.15        69.61        1713.06s
118/5000  0.0537     98.26        69.68        1734.32s
119/5000  0.0488     98.47        70.14        1755.61s
120/5000  0.0548     98.25        69.70        1776.87s
121/5000  0.0536     98.27        69.42        1798.15s
122/5000  0.0521     98.29        69.21        1819.26s
123/5000  0.0554     98.23        68.42        1840.43s
124/5000  0.0561     98.26        69.30        1861.69s
125/5000  0.0492     98.49        69.04        1882.81s
126/5000  0.0586     98.21        69.97        1903.97s
127/5000  0.0478     98.42        69.34        1925.12s
128/5000  0.0556     98.25        70.31        1946.23s
129/5000  0.0500     98.42        69.41        1967.27s
130/5000  0.0488     98.48        70.04        1988.37s
131/5000  0.0463     98.48        69.41        2009.49s
132/5000  0.0471     98.50        69.57        2030.62s
133/5000  0.0539     98.33        70.54        2051.77s
134/5000  0.0494     98.40        70.15        2072.89s
135/5000  0.0490     98.37        69.30        2093.87s
136/5000  0.0498     98.41        69.62        2114.98s
137/5000  0.0483     98.44        69.96        2136.01s
138/5000  0.0438     98.63        69.12        2157.09s
139/5000  0.0456     98.50        69.58        2177.91s
140/5000  0.0466     98.57        68.02        2198.94s
141/5000  0.0460     98.48        69.82        2220.11s
142/5000  0.0430     98.63        70.14        2241.16s
143/5000  0.0456     98.56        69.63        2262.15s
144/5000  0.0463     98.48        69.13        2283.11s
145/5000  0.0490     98.51        69.66        2304.10s
146/5000  0.0431     98.60        70.20        2325.05s
147/5000  0.0410     98.74        68.75        2346.08s
148/5000  0.0448     98.53        69.80        2367.10s
149/5000  0.0433     98.58        69.74        2388.14s
150/5000  0.0455     98.58        69.94        2409.10s
151/5000  0.0410     98.67        69.57        2430.04s
152/5000  0.0453     98.50        70.02        2451.08s
153/5000  0.0384     98.80        70.18        2472.02s
154/5000  0.0442     98.54        70.59        2493.28s
155/5000  0.0456     98.58        68.96        2514.47s
156/5000  0.0413     98.65        70.02        2535.63s
157/5000  0.0370     98.83        70.75        2556.76s
158/5000  0.0366     98.80        68.45        2577.95s
159/5000  0.0435     98.65        68.64        2599.08s
160/5000  0.0418     98.71        69.54        2620.00s
161/5000  0.0465     98.54        69.31        2641.04s
162/5000  0.0401     98.73        69.48        2662.11s
163/5000  0.0397     98.73        70.19        2683.12s
164/5000  0.0376     98.82        69.79        2704.22s
165/5000  0.0346     98.90        70.76        2725.56s
166/5000  0.0427     98.70        69.67        2746.69s
167/5000  0.0395     98.73        70.15        2767.75s
168/5000  0.0410     98.67        69.18        2788.95s
169/5000  0.0358     98.80        70.41        2810.07s
170/5000  0.0367     98.84        70.22        2830.99s
171/5000  0.0352     98.79        70.40        2852.07s
172/5000  0.0371     98.78        69.75        2873.13s
173/5000  0.0374     98.86        70.71        2894.22s
174/5000  0.0388     98.76        70.16        2907.07s
175/5000  0.0365     98.86        69.41        2919.89s
176/5000  0.0374     98.81        69.45        2932.80s
177/5000  0.0372     98.87        69.56        2945.57s
178/5000  0.0345     98.88        70.50        2958.48s
179/5000  0.0384     98.77        70.26        2971.49s
180/5000  0.0377     98.82        69.69        2984.35s
181/5000  0.0377     98.79        70.73        2997.18s
182/5000  0.0344     98.88        69.41        3009.99s
183/5000  0.0366     98.84        70.68        3022.78s
184/5000  0.0354     98.84        69.35        3035.67s
185/5000  0.0386     98.77        70.27        3048.54s
186/5000  0.0320     98.95        69.31        3061.48s
187/5000  0.0333     98.89        69.71        3074.82s
188/5000  0.0348     98.85        70.04        3088.02s
189/5000  0.0349     98.91        69.88        3101.05s
190/5000  0.0342     98.93        69.25        3114.01s
191/5000  0.0337     98.92        70.61        3126.88s
192/5000  0.0335     98.88        70.23        3139.74s
193/5000  0.0303     98.97        69.52        3152.58s
194/5000  0.0343     98.91        70.02        3165.44s
195/5000  0.0328     98.92        70.45        3178.31s
196/5000  0.0374     98.80        70.24        3191.17s
197/5000  0.0362     98.93        69.59        3204.08s
198/5000  0.0304     99.03        70.83        3216.86s
199/5000  0.0341     98.92        69.54        3229.66s
200/5000  0.0317     98.99        69.94        3242.56s
201/5000  0.0315     99.02        71.15        3255.38s
202/5000  0.0301     99.01        70.40        3268.29s
203/5000  0.0330     98.99        70.30        3281.31s
204/5000  0.0304     99.05        70.36        3294.31s
205/5000  0.0293     99.06        70.03        3307.24s
206/5000  0.0304     99.02        69.50        3320.28s
207/5000  0.0301     99.04        70.88        3333.23s
208/5000  0.0330     98.98        70.20        3346.27s
209/5000  0.0361     98.85        70.32        3359.54s
210/5000  0.0279     99.09        70.12        3372.93s
211/5000  0.0288     99.07        70.40        3385.98s
212/5000  0.0349     98.90        69.89        3398.88s
213/5000  0.0296     99.02        70.59        3411.88s
214/5000  0.0277     99.06        70.41        3424.87s
215/5000  0.0283     99.07        69.88        3437.78s
216/5000  0.0329     98.94        69.79        3450.76s
217/5000  0.0316     99.00        69.96        3463.69s
218/5000  0.0303     99.07        69.94        3476.57s
219/5000  0.0314     99.00        70.19        3489.53s
220/5000  0.0317     98.97        69.55        3502.38s
221/5000  0.0287     99.10        70.52        3515.28s
222/5000  0.0310     98.97        69.89        3528.10s
223/5000  0.0267     99.11        70.44        3541.10s
224/5000  0.0271     99.13        70.17        3553.97s
225/5000  0.0308     99.05        70.05        3566.86s
226/5000  0.0288     99.13        70.55        3579.78s
227/5000  0.0261     99.13        70.91        3592.59s
228/5000  0.0293     99.05        69.92        3605.45s
229/5000  0.0324     98.99        69.39        3618.22s
230/5000  0.0250     99.24        71.17        3631.11s
231/5000  0.0283     99.11        70.41        3643.97s
232/5000  0.0311     99.04        70.15        3656.95s
233/5000  0.0278     99.09        70.33        3669.88s
234/5000  0.0269     99.18        70.69        3682.72s
235/5000  0.0251     99.21        70.20        3695.57s
236/5000  0.0289     99.10        69.63        3708.52s
237/5000  0.0266     99.09        68.84        3721.34s
238/5000  0.0271     99.20        69.99        3734.34s
239/5000  0.0263     99.13        70.61        3747.30s
240/5000  0.0296     99.02        70.67        3760.14s
241/5000  0.0269     99.19        70.36        3772.94s
242/5000  0.0283     99.15        70.86        3785.82s
243/5000  0.0310     99.02        70.27        3798.75s
244/5000  0.0237     99.23        70.88        3811.58s
245/5000  0.0252     99.18        70.04        3824.35s
246/5000  0.0269     99.16        70.79        3837.28s
247/5000  0.0253     99.20        70.23        3850.03s
248/5000  0.0268     99.18        70.79        3862.89s
249/5000  0.0293     99.07        70.75        3875.76s
250/5000  0.0245     99.25        69.94        3888.62s
251/5000  0.0293     99.09        70.55        3901.46s
252/5000  0.0265     99.13        70.41        3914.43s
253/5000  0.0250     99.19        70.26        3927.29s
254/5000  0.0246     99.21        70.78        3940.14s
255/5000  0.0280     99.14        69.90        3953.01s
256/5000  0.0273     99.16        70.42        3965.88s
257/5000  0.0233     99.26        69.68        3978.79s
258/5000  0.0254     99.15        70.22        3991.63s
259/5000  0.0272     99.16        70.07        4004.40s
260/5000  0.0250     99.23        70.03        4017.23s
261/5000  0.0272     99.16        70.58        4030.03s
262/5000  0.0262     99.15        70.53        4042.80s
263/5000  0.0233     99.24        70.16        4055.68s
264/5000  0.0223     99.27        70.34        4068.52s
265/5000  0.0265     99.14        70.11        4081.39s
266/5000  0.0224     99.28        70.99        4094.24s
267/5000  0.0248     99.22        70.39        4107.10s
268/5000  0.0242     99.19        70.08        4120.01s
269/5000  0.0249     99.26        70.70        4132.91s
270/5000  0.0269     99.19        70.26        4145.73s
271/5000  0.0260     99.18        70.48        4158.54s
272/5000  0.0223     99.29        70.52        4171.48s
273/5000  0.0194     99.39        70.51        4184.31s
274/5000  0.0230     99.28        70.80        4197.14s
275/5000  0.0261     99.15        70.71        4209.97s
276/5000  0.0262     99.17        70.41        4222.77s
277/5000  0.0247     99.22        71.14        4235.62s
278/5000  0.0256     99.15        69.24        4248.48s
279/5000  0.0242     99.23        70.54        4261.23s
280/5000  0.0237     99.29        70.32        4274.12s
281/5000  0.0217     99.31        70.56        4286.94s
282/5000  0.0248     99.22        70.75        4299.76s
283/5000  0.0228     99.28        70.65        4312.46s
284/5000  0.0194     99.39        70.62        4325.23s
285/5000  0.0206     99.35        70.29        4338.02s
286/5000  0.0256     99.18        70.65        4350.91s
287/5000  0.0219     99.29        69.97        4363.77s
288/5000  0.0249     99.23        70.81        4376.67s
289/5000  0.0214     99.32        70.92        4389.48s
290/5000  0.0198     99.37        70.39        4402.31s
291/5000  0.0231     99.25        70.41        4415.23s
292/5000  0.0259     99.17        70.63        4428.14s
293/5000  0.0229     99.30        70.82        4440.90s
294/5000  0.0247     99.22        70.25        4453.70s
295/5000  0.0229     99.25        69.75        4466.52s
296/5000  0.0225     99.28        70.92        4479.24s
297/5000  0.0183     99.40        71.62        4492.05s
298/5000  0.0216     99.32        70.77        4504.94s
299/5000  0.0238     99.24        69.93        4517.89s
300/5000  0.0250     99.22        70.39        4530.65s
301/5000  0.0214     99.31        69.85        4543.48s
302/5000  0.0194     99.37        70.81        4556.31s
303/5000  0.0199     99.37        69.83        4569.17s
304/5000  0.0248     99.20        70.29        4582.03s
305/5000  0.0228     99.32        70.44        4594.88s
306/5000  0.0206     99.34        70.78        4607.69s
307/5000  0.0217     99.31        70.84        4620.56s
308/5000  0.0188     99.43        70.98        4633.45s
309/5000  0.0193     99.39        70.17        4646.30s
310/5000  0.0214     99.36        70.58        4659.14s
311/5000  0.0231     99.30        70.39        4671.99s
312/5000  0.0220     99.30        70.45        4684.85s
313/5000  0.0246     99.28        70.41        4697.73s
314/5000  0.0208     99.36        70.68        4710.57s
315/5000  0.0195     99.39        72.24        4723.51s
316/5000  0.0196     99.39        71.19        4736.37s
317/5000  0.0204     99.31        70.78        4749.26s
318/5000  0.0211     99.32        71.17        4762.19s
319/5000  0.0196     99.36        70.93        4774.91s
320/5000  0.0178     99.40        70.45        4787.71s
321/5000  0.0194     99.39        70.61        4800.61s
322/5000  0.0231     99.26        69.83        4813.51s
323/5000  0.0213     99.33        71.03        4826.44s
324/5000  0.0184     99.37        69.95        4839.29s
325/5000  0.0205     99.34        70.24        4852.14s
326/5000  0.0228     99.29        70.72        4864.94s
327/5000  0.0222     99.30        70.50        4877.84s
328/5000  0.0162     99.50        71.13        4890.65s
329/5000  0.0183     99.40        70.14        4903.58s
330/5000  0.0235     99.26        70.88        4916.45s
331/5000  0.0196     99.37        70.83        4929.36s
332/5000  0.0189     99.39        70.33        4942.34s
333/5000  0.0210     99.31        71.14        4955.14s
334/5000  0.0193     99.35        70.77        4968.00s
335/5000  0.0168     99.41        71.04        4980.90s
336/5000  0.0178     99.40        70.79        4993.85s
337/5000  0.0221     99.29        71.13        5006.66s
338/5000  0.0185     99.40        71.65        5019.47s
339/5000  0.0192     99.37        71.19        5032.35s
