==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱         : Alberts-MacBook-Pro-6.local
Python 版本      : 3.10.12
TensorFlow 版本  : 2.17.0
訓練裝置類型     : CPU
裝置名稱         : CPU
訓練開始時間     : 2026-05-03 11:04:16
總訓練時間       : 430.53 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2288     92.95        98.61        8.33s
2/50    0.0764     97.81        98.92        16.19s
3/50    0.0532     98.42        99.08        24.32s
4/50    0.0419     98.79        99.04        32.34s
5/50    0.0353     98.88        99.29        40.32s
6/50    0.0298     99.08        99.28        48.47s
7/50    0.0265     99.19        99.31        56.67s
8/50    0.0221     99.30        99.30        64.80s
9/50    0.0208     99.35        99.41        73.41s
10/50    0.0172     99.46        99.41        81.57s
11/50    0.0169     99.44        99.36        89.86s
12/50    0.0166     99.48        99.43        98.04s
13/50    0.0139     99.53        99.34        106.35s
14/50    0.0138     99.54        99.50        114.51s
15/50    0.0128     99.58        99.44        122.82s
16/50    0.0116     99.62        99.40        132.24s
17/50    0.0130     99.59        99.34        141.05s
18/50    0.0085     99.72        99.26        149.55s
19/50    0.0095     99.67        99.37        158.24s
20/50    0.0098     99.67        99.33        166.74s
21/50    0.0093     99.69        99.33        175.06s
22/50    0.0095     99.68        99.34        183.44s
23/50    0.0075     99.76        99.43        191.87s
24/50    0.0085     99.72        99.36        200.71s
25/50    0.0087     99.72        99.46        209.53s
26/50    0.0077     99.76        99.34        218.15s
27/50    0.0062     99.80        99.42        226.39s
28/50    0.0063     99.79        99.39        234.70s
29/50    0.0073     99.77        99.28        243.07s
30/50    0.0073     99.76        99.38        251.94s
31/50    0.0076     99.80        99.27        260.59s
32/50    0.0057     99.83        99.33        269.58s
33/50    0.0064     99.80        99.32        278.71s
34/50    0.0073     99.77        99.29        287.36s
35/50    0.0073     99.78        99.37        296.01s
36/50    0.0062     99.81        99.31        304.64s
37/50    0.0050     99.83        99.43        313.26s
38/50    0.0067     99.78        99.43        322.13s
39/50    0.0061     99.83        99.32        331.18s
40/50    0.0045     99.84        99.43        340.28s
41/50    0.0042     99.88        99.39        349.43s
42/50    0.0048     99.84        99.34        358.20s
43/50    0.0074     99.81        99.28        367.06s
44/50    0.0064     99.80        99.33        376.04s
45/50    0.0044     99.86        99.36        385.25s
46/50    0.0073     99.78        99.41        394.19s
47/50    0.0042     99.86        99.41        403.16s
48/50    0.0047     99.84        99.37        412.35s
49/50    0.0052     99.86        99.22        421.49s
50/50    0.0040     99.86        99.39        430.53s
--------------------------------------------------

訓練完成
