==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱         : aero01
Python 版本      : 3.10.12
TensorFlow 版本  : 2.17.0
訓練裝置類型     : CUDA
裝置名稱         : NVIDIA L40S
CUDA 版本        : 12.3
訓練開始時間     : 2026-05-05 00:21:07
總訓練時間       : 116.32 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2082     93.55        98.79        4.80s
2/50    0.0672     98.06        99.01        7.07s
3/50    0.0488     98.56        99.19        9.32s
4/50    0.0385     98.88        99.27        11.59s
5/50    0.0333     98.99        99.19        13.85s
6/50    0.0284     99.15        99.32        16.12s
7/50    0.0239     99.27        99.40        18.41s
8/50    0.0217     99.34        99.22        20.66s
9/50    0.0208     99.34        99.25        22.93s
10/50    0.0167     99.45        99.24        25.20s
11/50    0.0170     99.47        99.24        27.45s
12/50    0.0137     99.55        99.37        29.73s
13/50    0.0125     99.60        99.28        32.02s
14/50    0.0134     99.58        99.22        34.31s
15/50    0.0130     99.58        99.26        36.60s
16/50    0.0114     99.63        99.19        38.88s
17/50    0.0110     99.63        99.32        41.16s
18/50    0.0098     99.65        99.25        43.43s
19/50    0.0105     99.67        99.39        45.69s
20/50    0.0084     99.71        99.31        47.96s
21/50    0.0101     99.68        99.25        50.20s
22/50    0.0083     99.74        99.28        52.45s
23/50    0.0074     99.75        99.41        54.72s
24/50    0.0080     99.74        99.31        56.99s
25/50    0.0080     99.75        99.33        59.24s
26/50    0.0061     99.80        99.27        61.47s
27/50    0.0082     99.73        99.43        63.74s
28/50    0.0067     99.77        99.33        65.99s
29/50    0.0065     99.77        99.46        68.24s
30/50    0.0081     99.77        99.29        70.53s
31/50    0.0063     99.79        99.36        72.83s
32/50    0.0080     99.75        99.28        75.14s
33/50    0.0049     99.82        99.32        77.41s
34/50    0.0055     99.81        99.41        79.66s
35/50    0.0061     99.83        99.30        81.92s
36/50    0.0051     99.83        99.37        84.19s
37/50    0.0068     99.80        99.39        86.50s
38/50    0.0054     99.84        99.39        88.77s
39/50    0.0054     99.83        99.35        91.09s
40/50    0.0041     99.86        99.33        93.41s
41/50    0.0058     99.84        99.37        95.73s
42/50    0.0050     99.85        99.27        98.03s
43/50    0.0046     99.86        99.45        100.32s
44/50    0.0045     99.87        99.42        102.58s
45/50    0.0074     99.79        99.19        104.85s
46/50    0.0050     99.84        99.37        107.14s
47/50    0.0053     99.86        99.35        109.45s
48/50    0.0034     99.86        99.37        111.75s
49/50    0.0058     99.85        99.47        114.06s
50/50    0.0043     99.86        99.31        116.32s
--------------------------------------------------

訓練完成
